from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
Skarzysko-Kamienna labor camp (Division A),Skarzysko-Kamienna labor camp (Division B),Mid-1942,On foot,Volunteered as mechanic to escape harsh conditions in Division A,47180.txt,,,,
Skarzysko-Kamienna labor camp,Tschenstochau labor camp,August 1944,Not explicitly mentioned,Transfer due to approaching Soviet forces,47180.txt,,,,
Tschenstochau labor camp,"Radomsko, Poland","January 12, 1945",On foot,Escape from labor camp as Soviet forces approached,47180.txt,,,51.071061,19.4498464
Radomsko,"Piotrkow, Poland",Mid-January 1945,On foot and partly by train,Journey back towards hometown after liberation,47180.txt,51.071061,19.4498464,,
Piotrkow,"Lodz, Poland",Mid-January 1945,On foot and partly by train,Continuing journey back towards hometown,47180.txt,51.412854,19.6886837,51.7728245,19.4784857
Lodz,"Plock, Poland","January 23, 1945",On foot and partly by train,Returning to hometown after liberation,47180.txt,51.7728245,19.4784857,52.5464521,19.7008606
Plock,"Warsaw, Poland",1946,Not explicitly mentioned,Marriage to Charlotte Ziegler,47180.txt,52.5353471,19.7136301,,
"Warsaw, Poland","Munich, Germany",1946,Not explicitly mentioned,Decision to leave Poland and study at Munich Institute of Technology,47180.txt,,,48.1371079,11.5753822
"Munich, Germany","New Orleans, USA",February 1952,Ship (implied),Immigration to the United States,47180.txt,48.1371079,11.5753822,29.9759983,-90.0782127
"New Orleans, USA","Los Angeles, California, USA",February 1952,Train,Joining family members and settling in California,47180.txt,29.9759983,-90.0782127,34.0536909,-118.242766
"Utrecht, Holland","Scheveningen, Holland",Childhood (1920s-1930s),Train,Family vacation,47654.txt,52.0907006,5.1215634,52.1067449,4.2736937
"Utrecht, Holland","Amsterdam, Holland",1930s,Train,Family visits to relatives,47654.txt,52.0907006,5.1215634,52.3730796,4.8924534
"Utrecht, Holland","Amsterdam, Holland",1941-1942,Not mentioned,Moved to work as a student nurse at the Jewish hospital,47654.txt,52.0907006,5.1215634,52.3730796,4.8924534
"Amsterdam, Holland","Haarlem, Holland",1943,Train,Went into hiding arranged by Reverend Ader,47654.txt,52.3730796,4.8924534,52.3885317,4.6388048
"Haarlem, Holland","Nieuw-Vennep (near Schiphol Airport), Holland",1943,Train,Moved to a safer hiding place at the nursing home 'Friedewald',47654.txt,52.3885317,4.6388048,,
"Nieuw-Vennep, Holland","Amstelveen, Holland","June 28, 1945",Not mentioned,Marriage to Don Zilversmit,47654.txt,,,52.3028209,4.8596844
Holland,"Charleston, South Carolina, USA",December 1945,Army ship,Immigration to join husband Don in the United States,47654.txt,,,32.7884363,-79.9399309
"Charleston, South Carolina, USA","San Francisco, California, USA",December 1945,Train,Traveling to reunite with husband Don,47654.txt,32.7884363,-79.9399309,,
"Salonika, Greece","Athens, Greece","1943, after May 30",Train,Escaping German occupation in Salonika; Athens was under Italian control and safer for Italian citizens.,47902.txt,40.6543246,22.9314753,37.9755648,23.7348324
Athens residence,"Haidari prison, Athens","March 25, 1944",Bus,Taken by Germans after being reported by locals; forced to join husband and family members.,47902.txt,37.9855123,23.7209488,,
"Haidari prison, Athens","Bergen-Belsen concentration camp, Germany",Late March to April 1944,Cattle train,Deported by Germans; told they were going to Germany to live in houses and work.,47902.txt,,,,
Bergen-Belsen concentration camp,Unknown destination (towards Auschwitz),April or May 1945,Cattle train,Transported by Germans as the Allies approached; intended destination was Auschwitz.,47902.txt,,,,
Stopped train near Bergen-Belsen,"Hillersleben, Germany",May 1945,Unknown (likely by foot or Allied transport),Liberated by American soldiers; provided temporary housing after liberation.,47902.txt,,,52.2725686,11.493312
"Hillersleben, Germany","Courbevoie, Paris, France",Mid-1945,Train (arranged by American forces),Seeking medical treatment for husband's severe illness.,47902.txt,52.2725686,11.493312,,
"Paris, France","Salonika, Greece (via Marseille, Bari, Sicily, Athens)",Late 1945,Ship and train,Repatriation to Greece after the war.,47902.txt,,,,
"Salonika, Greece","Syracuse, New York, USA",1951,Ship (likely),Immigration to the United States due to loss of property and difficult conditions in Greece.,47902.txt,40.6543246,22.9314753,43.0481221,-76.1474244
"Syracuse, New York","Charlotte, North Carolina, USA",Unknown (before 1998),Unknown,Relocation within the United States; living in Charlotte at the time of the interview.,47902.txt,,,35.2272086,-80.8430827
Danzig,"New York City, USA","June 3, 1939",Ship (SS Batory),Fleeing Nazi persecution,48189.txt,,,40.7127281,-74.0060152
"New York City, USA","Chicago, USA",June 1939,Train,Joining family (aunt Sonia Rosenberg),48189.txt,40.7127281,-74.0060152,41.8755616,-87.6244212
"Chicago, USA","St. Louis, Missouri, USA",After marriage (approximately late 1940s or early 1950s),Not mentioned,"Relocation after marriage to first husband, Elgie Richman",48189.txt,41.8755616,-87.6244212,,
"St. Louis, Missouri, USA",Israel,1971,Not mentioned,Husband David Kovensky accepted a three-year engineering contract in Israel,48189.txt,,,30.8124247,34.8594762
Israel,United States,1974,"Car (driving through Europe, including Germany)",End of husband's contract and family responsibilities in the US,48189.txt,30.8124247,34.8594762,,
"Vienna, Austria",Greece (via Yugoslavia and Bulgaria),June 1938,Train,"Fleeing Nazi persecution, organized illegal transport to Palestine",48208.txt,48.2083537,16.3725042,,
Greece,Palestine (via Mediterranean Sea),June-July 1938,"Ships (initially a decoy ship, then small fishing boats)",Continuation of illegal immigration journey to Palestine,48208.txt,38.9953683,21.9877132,,
Palestine coast (near Binyamina),"Tel Aviv, Palestine",July 1938,Bus,Arrival and initial settlement in Palestine,48208.txt,,,32.0539873,34.75508
"Tel Aviv, Palestine","Ra'anana, Palestine",July 1938,Not specified,Joining a kibbutz for agricultural work,48208.txt,32.0539873,34.75508,,
"Ra'anana, Palestine","Kfar HaMaccabi, Palestine",Late 1938,Not specified,Joining main kibbutz affiliated with Maccabi Ha'Zaír,48208.txt,,,,
"Kfar HaMaccabi, Palestine","Hadera, Palestine",Late 1938,Not specified,Establishing a new kibbutz with fellow youth group members,48208.txt,,,,
"Hadera, Palestine","Jerusalem, Palestine",Late 1938 or early 1939,Not specified,Arranging immigration papers and visas for parents,48208.txt,,,33.61327,-87.855317
"Jerusalem, Palestine","Kfar HaHoresh, Palestine",1939,Not specified,Joining kibbutz group relocated to Kfar HaHoresh,48208.txt,33.61327,-87.855317,,
"Kfar HaHoresh, Palestine","Degania Alef, Palestine",1939-1940,Bus,Experiencing life in an established kibbutz,48208.txt,,,,
"Degania Alef, Palestine",Various British Army camps in Sinai Peninsula and Gaza area,1940-1945,Not specified,Serving in British Royal Engineers during World War II,48208.txt,,,,
Sinai Peninsula/Gaza area,"Tel Aviv, Palestine",1945,Not specified,Returning after World War II service,48208.txt,,,32.0539873,34.75508
"Tel Aviv, Israel","Paris, France",1949,Not specified,Working as a journalist and assisting at the Israeli legation,48208.txt,32.0852997,34.7818064,,
"Paris, France","New York, United States",May 1952,Ship,Immigrating to the United States after receiving a visa,48208.txt,,,,
"Manhattan, New York","Demarest, New Jersey",1968,Not specified,Moving for better schooling opportunities for daughter,48208.txt,40.7896239,-73.9598939,40.9573205,-73.9634708
"Demarest, New Jersey","Haworth, New Jersey",1981,Not specified,Relocating within New Jersey,48208.txt,40.9573205,-73.9634708,40.9609315,-73.9901383
"Hechtsheim, Germany","Mainz, Germany",1935,Bicycle or walking,To attend apprenticeship as an upholsterer,48402.txt,,,49.9995205,8.2736253
"Mainz, Germany","Karlsruhe, Germany",1937,Train,To work at a Jewish furniture manufacturer,48402.txt,49.9995205,8.2736253,49.0068705,8.4034195
"Karlsruhe, Germany","Gurs, France",October 1940,Train,Deported by Nazis to internment camp,48402.txt,49.0068705,8.4034195,,
"Gurs, France","Rivesaltes, France",1941,Not specified,Transferred to another internment camp,48402.txt,,,42.7683568,2.8709277
"Rivesaltes, France","Brest, France",1941,Train (boxcar),Forced labor at submarine bunker construction,48402.txt,42.7683568,2.8709277,48.3905283,-4.4860088
"Brest, France","Rivesaltes, France",1941,Train (boxcar),Returned after Jews were no longer allowed to work on German projects,48402.txt,48.3905283,-4.4860088,42.7683568,2.8709277
"Rivesaltes, France","Les Milles, France",1941-1942,Not specified,Transferred to another internment camp,48402.txt,42.7683568,2.8709277,43.5036881,5.3873997
"Les Milles, France","Bivert (near Gardane), France",Early 1942,Not specified,Forced labor in coal mines,48402.txt,43.5036881,5.3873997,,
"Bivert, France","Marseille, France",1942,Walking and train,Escaped from coal mine labor camp,48402.txt,,,43.2961743,5.3699525
"Marseille, France","Perpignan, France",1942,Train,Attempted to cross into Spain,48402.txt,43.2961743,5.3699525,42.6985304,2.8953121
"Perpignan, France","Marseille, France",1942,Train,Returned after failing to cross into Spain,48402.txt,42.6985304,2.8953121,43.2961743,5.3699525
"Marseille, France","Limoges, France",1942,Train,Seeking refuge with acquaintances,48402.txt,43.2961743,5.3699525,45.8354243,1.2644847
"Limoges, France","Marseille, France",Late 1942,Train,Attempting to find safety after escaping again,48402.txt,45.8354243,1.2644847,43.2961743,5.3699525
"Marseille, France","Annecy, France",Late 1942,Train,Attempting to cross into Switzerland,48402.txt,43.2961743,5.3699525,,
"Annecy, France","Annemasse, France",Late 1942,Walking,Attempting to cross into Switzerland,48402.txt,,,46.1934005,6.2341093
"Annemasse, France",Switzerland,October 1942,Walking (guided by Red Cross),Escaped into neutral Switzerland,48402.txt,46.1934005,6.2341093,46.7985624,8.2319736
Switzerland,Holland,Early 1946,Airplane,Visiting surviving cousins after the war,48402.txt,46.7985624,8.2319736,,
Holland,"Antwerp, Belgium",Early 1946,Train,Waiting for passage to the United States,48402.txt,,,51.2211097,4.3997081
"Antwerp, Belgium","New Orleans, USA",Early 1946,Ship (banana boat),Immigrating to the United States,48402.txt,51.2211097,4.3997081,29.9759983,-90.0782127
"New Orleans, USA","New York, USA",Early 1946,Train,Joining relatives in New York,48402.txt,29.9759983,-90.0782127,40.7127281,-74.0060152
"New York, USA","Long Island, USA",After 1946,Not specified,Settling and starting family life,48402.txt,40.7127281,-74.0060152,,
"Long Island, USA","Sevierville, Tennessee, USA",1996,Not specified,Moved closer to daughter Sherri,48402.txt,,,,
Breslau,Berlin,1938,Not mentioned,Sent to Berlin to study cello due to lack of Jewish cello teachers in Breslau.,48608.txt,51.1263106,16.9781963,,
Berlin,Breslau,November 1938 (after Kristallnacht),Not mentioned,Returned home after Kristallnacht and her cello teacher emigrated.,48608.txt,,,51.1263106,16.9781963
Family apartment in Breslau,Aunt's apartment in Breslau,Around 1940,Not mentioned,Forced to leave their own apartment due to Nazi restrictions.,48608.txt,,,,
Aunt's apartment in Breslau,Jewish orphanage in Breslau,Early 1940s,Not mentioned,Parents deported; Anita and her sister Renata placed under guardianship and moved to orphanage.,48608.txt,,,,
Breslau,Attempted escape to Paris (unsuccessful),Early 1940s (during the war),Train,Attempted escape using forged papers; arrested at the station.,48608.txt,51.1263106,16.9781963,,
Breslau prison,Auschwitz concentration camp,December 1943,Prison train,Deported after imprisonment for forgery and attempted escape.,48608.txt,,,50.0389061,19.1712984
Auschwitz concentration camp,Bergen-Belsen concentration camp,November 1944,Cattle truck train,Transferred westward as the Soviet army advanced.,48608.txt,50.0389061,19.1712984,,
Bergen-Belsen concentration camp,Bergen-Belsen displaced persons camp (former army barracks nearby),May 1945,Not mentioned,Moved after liberation by British forces; original camp burned down.,48608.txt,,,,
Bergen-Belsen displaced persons camp,"London, England",March 1946,Not mentioned,Emigrated to join her elder sister Marianne after finally receiving permission from the British Home Office.,48608.txt,,,,
"London, England","Paris, France",Late 1940s (after settling in England),Not mentioned,"Went on holiday to Paris, where she reconnected with her future husband, Peter Wallfisch.",48608.txt,,,,
"London, England","Bergen-Belsen, Germany",Approximately 1990 (45 years after liberation),Not mentioned,"Returned to visit Bergen-Belsen for the first time since liberation, as part of a trip with her orchestra.",48608.txt,,,52.7580569,9.9117992
"Topolcany, Czechoslovakia","Vienna, Austria",Summers during childhood (1920s-1930s),Not explicitly mentioned,Visiting father's family in Vienna,49918.txt,,,48.2083537,16.3725042
"Topolcany, Czechoslovakia","Bratislava, Czechoslovakia",March 1942,Train,Deportation of young Jewish women,49918.txt,,,,
"Bratislava, Czechoslovakia","Auschwitz, Poland",March 1942,Cattle car train,Deportation to concentration camp,49918.txt,,,50.0382443,19.2214053
Auschwitz main camp,"Birkenau, Poland",Summer 1942,Walking,Transfer to harsher conditions after Hess's visit,49918.txt,,,,
"Birkenau, Poland","Brzezinka (near Birkenau), Poland",Summer 1944,Not explicitly mentioned,Assigned as barber during Hungarian deportations,49918.txt,,,,
"Auschwitz-Birkenau, Poland","Hindenburg, Germany",Around October 1944,Train,Evacuation from Auschwitz due to approaching Russian army,49918.txt,50.0346203,19.1807846,52.7533929,11.9288673
"Hindenburg, Germany","Bergen-Belsen, Germany",January 1945,Death march (walking) followed by open train,Evacuation due to advancing Allied forces,49918.txt,52.7533929,11.9288673,52.7580569,9.9117992
"Bergen-Belsen, Germany","Celle, Germany","After April 15, 1945",Not explicitly mentioned,Recuperation after liberation,49918.txt,52.7580569,9.9117992,,
"Celle, Germany","Bratislava, Czechoslovakia",Summer 1945,Train,Returning home after liberation,49918.txt,,,,
"Bratislava, Czechoslovakia","Topolcany, Czechoslovakia",Summer 1945,Train,Returning to hometown after liberation,49918.txt,,,,
"Topolcany, Czechoslovakia","Prague, Czechoslovakia",Late 1945,Not explicitly mentioned,Seeking employment and new life after war,49918.txt,,,,
"Prague, Czechoslovakia",United States,January 1947,Not explicitly mentioned (likely ship),Immigration to join relatives and start new life,49918.txt,,,,
"Graz, Austria","Zagreb, Yugoslavia",Summer 1938,Not mentioned,Family fled Austria after the Anschluss to join mother's family in Yugoslavia.,49933.txt,47.0708678,15.4382786,,
"Zagreb, Yugoslavia",Italian border (unsuccessful attempt),1939 or 1940,Walking,Family attempted to escape Yugoslavia to Italy but were caught by border patrol.,49933.txt,,,,
"Zagreb, Yugoslavia",Ljubljana border area (unsuccessful attempt),1940 or 1941,Car (taxi),Another attempt to escape to Italy; mother fell out of the car and was injured.,49933.txt,,,,
"Zagreb, Yugoslavia","Samobor, Yugoslavia",1940-1941,Not mentioned,Family was interned in Samobor area due to being Jewish.,49933.txt,,,,
Yugoslavia,"Montecatini, Italy",Fall or Spring 1941,Not mentioned,"Family successfully escaped Yugoslavia with false papers, joining relatives already in Italy.",49933.txt,23.0412366,-81.5261419,37.1112121,13.9343705
"Montecatini, Italy","Femmina Morta, Italy",Summer 1942,Not mentioned,Forced to leave Montecatini due to local authorities needing housing for tourists.,49933.txt,37.1112121,13.9343705,44.1750131,10.533336
"Femmina Morta, Italy","Quarrata, Italy",1942,Not mentioned,Family moved again due to housing needs; found shelter in Quarrata through help from local landowner Lenzi.,49933.txt,44.1750131,10.533336,43.8475005,10.9777009
"Quarrata (villa), Italy",Farmhouse in hills near Quarrata,September 1943,Walking,Germans approaching; family fled to farmhouse arranged by Lenzi.,49933.txt,43.8883234,10.7016036,,
Farmhouse near Quarrata,"Buco (small stone house), hills near Quarrata",Late 1943,Walking,Family moved again due to safety concerns and bombing in the area.,49933.txt,,,,
"Buco, hills near Quarrata","Guidotti family farmhouse, hills near Quarrata",Late 1943 or early 1944,Walking,Family moved to deeper hiding due to increased German patrols.,49933.txt,,,,
Guidotti farmhouse,"Bardi family farmhouse, hills near Quarrata",April 1944,Walking,Family moved again due to suspicion and denunciation risk at previous location.,49933.txt,,,,
Bardi farmhouse,Allied encampment near Quarrata,September 1944,Jeep,Liberated by Allied soldiers.,49933.txt,,,,
Allied encampment near Quarrata,Villa in Quarrata,September 1944,Not mentioned,"Returned to villa previously occupied, now used by Allies.",49933.txt,,,,
"Quarrata, Italy","Florence, Italy",Late 1944,Not mentioned,Family moved to Florence to rebuild life after liberation.,49933.txt,43.8475005,10.9777009,43.7697955,11.2556404
"Florence, Italy","Miazzina, Italy",1945-1946,Not mentioned,Father hospitalized with tuberculosis; family moved to be near him.,49933.txt,43.7697955,11.2556404,45.976377,8.522223
"Miazzina, Italy","Merano, Italy",1947,Not mentioned,Father transferred to another sanatorium; family followed.,49933.txt,45.976377,8.522223,46.6695547,11.1594185
"Merano, Italy","Florence, Italy",Late 1948,Not mentioned,"After father's death, family returned to Florence.",49933.txt,46.6695547,11.1594185,43.7697955,11.2556404
"Florence, Italy","Bagnoli DP camp near Naples, Italy",1949-1950,Train,Processing for immigration to the United States.,49933.txt,43.7697955,11.2556404,,
"Bagnoli DP camp, Italy","Bremerhaven DP camp, Germany",1951,Train,Final processing before embarking to the United States.,49933.txt,,,,
"Bremerhaven, Germany","New York, United States",March 1951,Ship (Captain Muir),Immigration to the United States.,49933.txt,53.5505392,8.5851945,,
"New York, United States","Los Angeles, California, United States",1951,Not mentioned,Moved to join relatives and settle permanently.,49933.txt,,,,
"Karlsruhe, Germany",England,1937,,Sent by parents to continue education after being expelled from German public school due to antisemitic policies.,50199.txt,49.0068705,8.4034195,52.5310214,-1.2649062
England,"Karlsruhe, Germany",June 1938,,Returned home at father's request to prepare for emigration to America.,50199.txt,52.5310214,-1.2649062,49.0068705,8.4034195
"Karlsruhe, Germany","New York, USA",August 1938,Ship (Nieuw Amsterdam),Family emigrated to escape Nazi persecution.,50199.txt,49.0068705,8.4034195,40.7127281,-74.0060152
"New York, USA","San Francisco, USA",October 1938,"Ship (Panama Pacific Line, City of Newport News)",Family moved to settle permanently in San Francisco.,50199.txt,40.7127281,-74.0060152,37.7792588,-122.4193286
"San Francisco, USA","Washington, D.C., USA",circa 1945,Train,Transferred by Office of War Information to their Washington bureau.,50199.txt,37.7792588,-122.4193286,,
"Washington, D.C., USA","Nuremberg, Germany",Late September or October 1945,,Accepted position as interpreter at the Nuremberg Trials.,50199.txt,,,49.453872,11.077298
"Nuremberg, Germany","Karlsruhe, Germany",1946,,Visited hometown and encountered former classmates after the war.,50199.txt,49.453872,11.077298,49.0068705,8.4034195
"Nuremberg, Germany","Salzburg, Austria",1946,,Attended the first postwar Salzburg music festival.,50199.txt,49.453872,11.077298,47.7981346,13.0464806
"Nuremberg, Germany","New York, USA",Late 1946,Troop ship,Returned to the United States after completion of the Nuremberg Trials.,50199.txt,49.453872,11.077298,40.7127281,-74.0060152
"San Francisco, USA","Rome and Milan, Italy",circa early 1950s,,Accompanied husband on a professional assignment studying the metal mechanical industry.,50199.txt,37.7792588,-122.4193286,,
"San Francisco, USA",Philippines,1979,,Assigned by the Asia Foundation to work on democratization and civil society projects.,50199.txt,37.7792588,-122.4193286,12.7503486,122.7312101
Philippines,Taiwan,circa late 1980s,,Assigned by the Asia Foundation to support democratization efforts in Taiwan.,50199.txt,12.7503486,122.7312101,23.5983227,120.8353769
"San Francisco, USA",Benin,circa mid-1990s,Airplane,Participated as an election observer.,50199.txt,37.7792588,-122.4193286,9.5293472,2.2584408
"San Francisco, USA","Sarajevo, Bosnia",circa late 1990s,,"Visited daughter Sandy, who was working with the International Crisis Group.",50199.txt,37.7792588,-122.4193286,43.8519774,18.3866868
"Berlin, Germany",Switzerland,Annually during childhood (late 1920s - early 1930s),,Family vacations and skiing trips,50642.txt,52.510885,13.3989367,46.7985624,8.2319736
"Berlin, Germany",Denmark,Annually during childhood (late 1920s - early 1930s),,Family vacations,50642.txt,52.510885,13.3989367,55.670249,10.3333283
"Berlin, Germany",France,Annually during childhood (late 1920s - early 1930s),,Family vacations,50642.txt,52.510885,13.3989367,46.603354,1.8883335
"Berlin, Germany",Tatra Mountains,Winter during childhood (late 1920s - early 1930s),,Family skiing trips,50642.txt,52.510885,13.3989367,,
"Berlin, Germany","Gliwice, Silesia",Regular visits during childhood,,Visiting maternal grandparents,50642.txt,52.510885,13.3989367,50.3011314,18.6623472
"Berlin, Germany",Dornbirn (near Swiss border),Early 1943,Train,Resistance mission to deliver technical drawings to Switzerland,50642.txt,52.510885,13.3989367,,
Dornbirn,Ludwigshafen prison,"February 5, 1943",Train,Transferred after arrest by Gestapo,50642.txt,,,,
Ludwigshafen prison,"Moabit prison, Berlin",Early 1943,Prison transport trains,Transferred through multiple prisons back to Berlin,50642.txt,,,,
"Moabit prison, Berlin","Gestapo headquarters, Berlin",Early 1943,Taxi (forced by Gestapo),Re-arrested by Gestapo after brief release,50642.txt,,,,
"Berlin, Germany",Auschwitz-Birkenau concentration camp,"April 20-23, 1943",Cattle train,Deportation by Nazis,50642.txt,52.510885,13.3989367,50.0389061,19.1712984
Auschwitz-Birkenau,Auschwitz main camp (staff quarters),Late 1944,,Transferred to work in SS staff quarters,50642.txt,50.0346203,19.1807846,,
Auschwitz,"Mecklenburg, Germany",Late January 1945,"Death march, then train, then walking",Escaped from death march and sought refuge,50642.txt,50.0382443,19.2214053,53.7448113,11.7950982
"Mecklenburg, Germany","Berlin, Germany",Late January 1945,Train,Returning to Berlin after liberation,50642.txt,53.7448113,11.7950982,52.510885,13.3989367
"Berlin, Germany","Mecklenburg, Germany","January 29, 1945",,Seeking refuge from bombing in Berlin,50642.txt,52.510885,13.3989367,53.7448113,11.7950982
"Mecklenburg, Germany",Western Germany (British-controlled area),"After May 5, 1945",,Working for British Control Commission after liberation,50642.txt,53.7448113,11.7950982,,
Germany,"Glasgow, Scotland",1947,,Married Ross Brewster and moved to his family home,50642.txt,,,55.861155,-4.2501687
"Glasgow, Scotland","Kent, England",Late 1940s,,Working as a physiotherapist,50642.txt,55.861155,-4.2501687,51.2070748,0.7210362
"Kent, England","Devon, England",Early 1950s,,Husband's veterinary practice,50642.txt,51.2070748,0.7210362,50.7241405,-3.6607788
"Devon, England",Nigeria,1953,,Husband's veterinary posting,50642.txt,50.7241405,-3.6607788,9.6000359,7.9999721
Nigeria,Cameroon,Late 1950s,,Husband's veterinary posting,50642.txt,9.6000359,7.9999721,4.6125522,13.1535811
Cameroon,England,1962,,Returning to England for children's education,50642.txt,4.6125522,13.1535811,52.5310214,-1.2649062
England,"Edmonton, Canada",1969,,Husband recruited by Canadian government,50642.txt,52.5310214,-1.2649062,,
"Edmonton, Canada","Coutts, Alberta, Canada",After 1969,,Husband's veterinary posting,50642.txt,,,49.0017307,-111.9638892
"Nyírmada, Hungary","Kisvárda, Hungary",March-April 1944,Train (cattle cars),Forced relocation to the ghetto,50849.txt,48.067926,22.1877049,48.2257593,22.0784247
"Kisvárda, Hungary","Auschwitz, Poland",April-May 1944,Train (cattle cars),Deportation to concentration camp,50849.txt,48.2257593,22.0784247,50.0382443,19.2214053
"Auschwitz, Poland","Taucha (near Leipzig), Germany",January-February 1945,Train (cattle cars),Transferred to forced labor at Krupp munitions factory,50849.txt,50.0382443,19.2214053,,
"Taucha, Germany",Unknown location near Prague,April-May 1945,Walking (death march),Forced evacuation due to approaching Allied forces,50849.txt,51.3799905,12.4936336,,
Unknown location near Prague,"Prague, Czechoslovakia",May 1945,Russian military jeep,Liberation and taken to Red Cross facility,50849.txt,,,,
"Prague, Czechoslovakia","Nyírmada, Hungary",1945,Not specified,Returning home after liberation,50849.txt,,,48.067926,22.1877049
"Nyírmada, Hungary","Munich, Germany",1947,Not specified,Leaving Hungary to join aunt and prepare for emigration,50849.txt,48.067926,22.1877049,48.1371079,11.5753822
"Munich, Germany","Boston, United States",December 1949,Ship (General Muir),Immigration to the United States,50849.txt,48.1371079,11.5753822,42.3554334,-71.060511
"Boston, United States","Woodbury, Connecticut, United States",December 1949,Not specified,Joining cousin who sponsored her immigration,50849.txt,42.3554334,-71.060511,41.5445404,-73.2090025
"Woodbury, Connecticut, United States","New York City, United States",Early 1950,Not specified,Moving to New York City to find work and settle permanently,50849.txt,41.5445404,-73.2090025,40.7127281,-74.0060152
Nagyvarad,Marghita,"During school holidays, starting around age 7",Train,Visiting maternal grandparents,51024.txt,47.0549163,21.9285231,47.34662,22.3414987
Nagyvarad,Local ghetto in Nagyvarad,Summer 1944,Walking,Forced relocation by Hungarian soldiers and authorities,51024.txt,47.0549163,21.9285231,,
Nagyvarad ghetto,Auschwitz,Late 1944,Train (cattle cars),Deportation by German soldiers,51024.txt,,,50.0382443,19.2214053
Auschwitz,Weisswasser (forced labor camp),Late 1944 or early 1945,Train,Selected for forced labor in a factory,51024.txt,50.0382443,19.2214053,,
Weisswasser,Bergen-Belsen,Spring 1945,Walking (death march),Evacuation due to approaching Allied forces,51024.txt,50.5014795,14.8041263,48.8601371,2.4001275
Bergen-Belsen,Hospital in Bergen,April 1945,Unknown (likely ambulance or military transport),Liberation by Allied forces and hospitalization due to severe illness,51024.txt,48.8601371,2.4001275,,
Bergen hospital,"Malmö, Sweden",1945,Red Cross transport (likely ship),Medical care and rehabilitation after liberation,51024.txt,51.4864952,4.3146583,,
"Malmö, Sweden","Göteborg, Sweden",Approximately 1946,Unknown,Transferred to a school for child survivors,51024.txt,,,57.7072326,11.9670171
"Göteborg, Sweden","Bordeaux, France",Approximately 1946-1947,Unknown (likely train or ship),Preparation for immigration to Israel,51024.txt,57.7072326,11.9670171,44.841225,-0.5800364
"Bordeaux, France","Marseille, France",1947,Train,Traveling to port city for immigration to Israel,51024.txt,44.841225,-0.5800364,43.2961743,5.3699525
"Marseille, France",Israel,1947,Ship,Immigration to Israel (Aliyah),51024.txt,43.2961743,5.3699525,30.8124247,34.8594762
Immigrant camp in Israel,"Kibbutz Afikim, Israel",1947,Unknown,Settlement and education in Israel,51024.txt,,,32.093311,34.96999
"Kibbutz Afikim, Israel","Kibbutz Hatzerim, Israel",End of 1947,Unknown,Establishment of new kibbutz settlement,51024.txt,32.093311,34.96999,,
Israel,"Cape Town, South Africa",Around 1950,Unknown (likely ship or airplane),To meet husband's family and eventually settle,51024.txt,30.8124247,34.8594762,,
"Cape Town, South Africa","Johannesburg, South Africa",1960,Unknown,Relocation for husband's employment,51024.txt,,,-26.205,28.049722
Berbesti,Grandmother's house (unspecified town),Around 1932 (age 4),Sled with horses,Taken by aunt after brother's girlfriend's death; stayed for two years,51559.txt,44.9888658,23.8686348,,
Grandmother's house,Berbesti,Around 1934 (age 6),Unspecified,Returned home to start school,51559.txt,16.848993,96.1799398,44.9888658,23.8686348
Berbesti,Sighet,May 1944,Walking and horse-drawn wagons,Forced relocation to Sighet ghetto,51559.txt,44.9888658,23.8686348,47.9283242,23.8915583
Sighet,Auschwitz-Birkenau,"May 1944 (arrived May 21, 1944)",Train (cattle cars),Deportation to concentration camp,51559.txt,47.9283242,23.8915583,50.0346203,19.1807846
Auschwitz-Birkenau,Breslau-Hundsfeld (subcamp of Gross-Rosen),July 1944 (after 8 weeks in Auschwitz),Train,Selected for forced labor in ammunition factory (Krupp factory),51559.txt,50.0346203,19.1807846,,
Breslau-Hundsfeld,Gross-Rosen,January 1945,Forced march (death march),Evacuation due to approaching Russian army,51559.txt,,,50.9983479,16.2749658
Gross-Rosen,Mauthausen,February 1945,Open train wagons,Further evacuation as Allies advanced,51559.txt,50.9983479,16.2749658,48.2404063,14.5162667
Mauthausen,Bergen-Belsen,February/March 1945,Regular train (overcrowded),Continued evacuation and relocation,51559.txt,48.2404063,14.5162667,48.8601371,2.4001275
Bergen-Belsen,"Berbesti, Romania",October 1945,Unspecified,Returning home after liberation,51559.txt,48.8601371,2.4001275,44.9888658,23.8686348
"Berbesti, Romania",Austria,Around 1947,Unspecified,"Left Romania after two years, seeking better life",51559.txt,44.9888658,23.8686348,47.59397,14.12456
Austria,Israel,Around 1949,Unspecified,Immigrated to Israel,51559.txt,47.59397,14.12456,30.8124247,34.8594762
Israel,United States,Around 1957,Unspecified,"Moved to America, eventually married and settled",51559.txt,30.8124247,34.8594762,,
Izbica,Łódź,Childhood (1920s-1930s),Bus,School trip,51694.txt,,,,
Izbica,Various nearby towns,1941,Horse and buggy,Fleeing persecution after being hidden by Hans Krantz,51694.txt,,,,
Various towns,Międzyrzec Podlaski Ghetto,1941-1942,Not specified,Seeking refuge from persecution,51694.txt,9.9903769,105.1033268,,
